"","Week.ended","signal","Male.Under.1.year","fit","upr","lwr"
"435",2018-05-04,27.7083339938587,29,NA,NA,NA
"436",2018-05-11,30.2211470390659,26,NA,NA,NA
"437",2018-05-18,30.4372203116568,29,NA,NA,NA
"438",2018-05-25,30.2544036296859,33,NA,NA,NA
"439",2018-06-01,24.2694663704438,27,NA,NA,NA
"440",2018-06-08,31.5824201677254,32,NA,NA,NA
"441",2018-06-15,27.7950514448032,33,NA,NA,NA
"442",2018-06-22,27.4036626496943,27,NA,NA,NA
"443",2018-06-29,27.1125856257726,23,NA,NA,NA
"444",2018-07-06,25.3246849811975,26,NA,NA,NA
"445",2018-07-13,26.9362627531527,25,NA,NA,NA
"446",2018-07-20,32.7493360088692,28,NA,NA,NA
"447",2018-07-27,26.5660774417813,36,NA,NA,NA
"448",2018-08-03,29.1755325299223,33,NA,NA,NA
"449",2018-08-10,26.4820337684448,30,NA,NA,NA
"450",2018-08-17,29.0858178853561,38,NA,NA,NA
"451",2018-08-24,25.8827170820413,30,NA,NA,NA
"452",2018-08-31,25.3764362713989,30,NA,NA,NA
"453",2018-09-07,28.8665844245107,27,NA,NA,NA
"454",2018-09-14,27.8581742449224,29,NA,NA,NA
"455",2018-09-21,29.7488821695931,42,NA,NA,NA
"456",2018-09-28,28.1301278723954,29,NA,NA,NA
"457",2018-10-05,27.3107017244174,16,NA,NA,NA
"458",2018-10-12,28.8000114624782,23,NA,NA,NA
"459",2018-10-19,26.893800873011,26,NA,NA,NA
"460",2018-10-26,28.1882806158293,34,NA,NA,NA
"461",2018-11-02,27.4782716434942,27,NA,NA,NA
"462",2018-11-09,28.9686320670346,24,NA,NA,NA
"463",2018-11-16,27.4628300423529,24,NA,NA,NA
"464",2018-11-23,26.459702554526,35,NA,NA,NA
"465",2018-11-30,31.8499789184643,32,NA,NA,NA
"466",2018-12-07,27.7401394127503,24,NA,NA,NA
"467",2018-12-14,31.2331886253914,26,NA,NA,NA
"468",2018-12-21,22.5802797216012,24,NA,NA,NA
"469",2018-12-28,20.9391741167789,19,NA,NA,NA
"470",2019-01-04,28.7093936888993,19,NA,NA,NA
"471",2019-01-11,28.3052941856965,20,NA,NA,NA
"472",2019-01-18,30.4985184155083,39,NA,NA,NA
"473",2019-01-25,27.0488128403765,26,NA,NA,NA
"474",2019-02-01,29.1453718673758,38,NA,NA,NA
"475",2019-02-08,28.6896374255572,36,NA,NA,NA
"476",2019-02-15,29.2282567828298,27,NA,NA,NA
"477",2019-02-22,27.8595062380542,30,NA,NA,NA
"478",2019-03-01,25.5800115614229,24,NA,NA,NA
