"","Week.ended","signal","Female.15.44","fit","upr","lwr"
"400",2017-09-01,87.4225296336952,85,NA,NA,NA
"401",2017-09-08,94.8707736784754,76,NA,NA,NA
"402",2017-09-15,101.839624783545,88,NA,NA,NA
"403",2017-09-22,100.223588887538,98,NA,NA,NA
"404",2017-09-29,94.8099811712678,82,NA,NA,NA
"405",2017-10-06,100.010362073525,92,NA,NA,NA
"406",2017-10-13,93.2194903656346,96,NA,NA,NA
"407",2017-10-20,101.625582315375,102,NA,NA,NA
"408",2017-10-27,100.331265397523,101,NA,NA,NA
"409",2017-11-03,100.836218215267,107,NA,NA,NA
"410",2017-11-10,104.134440126002,110,NA,NA,NA
"411",2017-11-17,98.026256790824,100,NA,NA,NA
"412",2017-11-24,102.915918109714,90,NA,NA,NA
"413",2017-12-01,105.819683731252,95,NA,NA,NA
"414",2017-12-08,106.33526454801,100,NA,NA,NA
"415",2017-12-15,112.05776353255,94,NA,NA,NA
"416",2017-12-22,98.5999817627415,119,NA,NA,NA
"417",2017-12-29,81.7016676938262,82.5,NA,NA,NA
"418",2018-01-05,98.9934644008814,82.5,NA,NA,NA
"419",2018-01-12,108.894181215303,116,NA,NA,NA
"420",2018-01-19,106.287138409552,101,NA,NA,NA
"421",2018-01-26,103.685869208097,79,NA,NA,NA
"422",2018-02-02,104.566102659854,123,NA,NA,NA
"423",2018-02-09,109.426206124346,103,NA,NA,NA
"424",2018-02-16,107.566054338393,122,NA,NA,NA
"425",2018-02-23,105.690140549593,88,NA,NA,NA
"426",2018-03-02,103.742635467821,86,NA,NA,NA
"427",2018-03-09,103.937507546681,92,NA,NA,NA
"428",2018-03-16,102.622413457002,110,NA,NA,NA
"429",2018-03-23,91.2992629742324,96,NA,NA,NA
"430",2018-03-30,97.7709792429298,82,NA,NA,NA
"431",2018-04-06,102.759917567576,93,NA,NA,NA
"432",2018-04-13,100.859513812939,117,NA,NA,NA
"433",2018-04-20,103.341484497335,110,NA,NA,NA
"434",2018-04-27,105.516184020902,113,NA,NA,NA
"435",2018-05-04,96.1827111478458,107,NA,NA,NA
"436",2018-05-11,104.0374256948,84,NA,NA,NA
"437",2018-05-18,104.414021296892,95,NA,NA,NA
"438",2018-05-25,100.600897097757,124,NA,NA,NA
"439",2018-06-01,96.1622208607225,79,NA,NA,NA
"440",2018-06-08,101.342285928417,105,NA,NA,NA
"441",2018-06-15,97.7183567383412,104,NA,NA,NA
"442",2018-06-22,101.487567935427,105,NA,NA,NA
"443",2018-06-29,94.5529435240444,113,NA,NA,NA
"444",2018-07-06,96.8981747554964,105,NA,NA,NA
"445",2018-07-13,103.734558718463,100,NA,NA,NA
"446",2018-07-20,97.0750208542688,117,NA,NA,NA
"447",2018-07-27,104.693724727615,94,NA,NA,NA
"448",2018-08-03,94.0241062477777,96,NA,NA,NA
"449",2018-08-10,97.0523300735938,91,NA,NA,NA
"450",2018-08-17,94.987163100116,92,NA,NA,NA
"451",2018-08-24,91.4252581365137,85,NA,NA,NA
"452",2018-08-31,88.4703696145289,82,NA,NA,NA
"453",2018-09-07,96.0225467963152,129,NA,NA,NA
"454",2018-09-14,103.038712292628,96,NA,NA,NA
"455",2018-09-21,101.462564128199,113,NA,NA,NA
"456",2018-09-28,96.0738169765408,86,NA,NA,NA
"457",2018-10-05,101.296070526673,114,NA,NA,NA
"458",2018-10-12,94.5044512677165,99,NA,NA,NA
"459",2018-10-19,102.907922827753,106,NA,NA,NA
"460",2018-10-26,101.608017810771,107,NA,NA,NA
"461",2018-11-02,102.102224699112,97,NA,NA,NA
"462",2018-11-09,105.402003264257,113,NA,NA,NA
"463",2018-11-16,99.2934847463314,96,NA,NA,NA
"464",2018-11-23,104.188562744368,115,NA,NA,NA
"465",2018-11-30,107.071834552412,112,NA,NA,NA
"466",2018-12-07,107.549724757972,106,NA,NA,NA
"467",2018-12-14,113.229307277376,105,NA,NA,NA
"468",2018-12-21,99.7178762768297,111,NA,NA,NA
"469",2018-12-28,82.7758698027507,75,NA,NA,NA
"470",2019-01-04,100.033337213055,75,NA,NA,NA
"471",2019-01-11,109.909050351228,112,NA,NA,NA
"472",2019-01-18,107.282480152945,108,NA,NA,NA
"473",2019-01-25,104.65512641632,114,NA,NA,NA
"474",2019-02-01,105.472113445412,99,NA,NA,NA
"475",2019-02-08,110.296168082553,115,NA,NA,NA
"476",2019-02-15,108.38781336424,104,NA,NA,NA
"477",2019-02-22,106.484250178911,117,NA,NA,NA
"478",2019-03-01,104.478294606109,106,NA,NA,NA
"479",2019-03-08,104.593679354628,106,NA,NA,NA
"480",2019-03-15,103.184526350171,105,NA,NA,NA
"481",2019-03-22,91.7733908316106,93,NA,NA,NA
"482",2019-03-29,98.1609158444346,84,NA,NA,NA
"483",2019-04-05,103.063904709008,112,NA,NA,NA
"484",2019-04-12,101.057135274449,94,NA,NA,NA
"485",2019-04-19,103.458072297218,105,NA,NA,NA
"486",2019-04-26,105.557325520599,102,NA,NA,NA
"487",2019-05-03,96.1604633765201,90,NA,NA,NA
"488",2019-05-10,103.970328515719,103,NA,NA,NA
"489",2019-05-17,104.281253262678,112,NA,NA,NA
